theta1,theta2,theta3,x,y
2.485248402145528,6.242262649632092,1.8755225303168095,-1.9413654897008692,0.32840952002165835
2.5651030346174832,2.439207303498838,4.676958224798201,-1.5178746628488056,-0.6662959558305026
2.339434730807156,5.983641368315916,6.03536138210015,-1.3667052064136809,2.5864552779403662
4.471019377114067,2.6333913706392504,1.0249860840601106,0.1703454583629132,0.7232821654219643
5.914937385010603,3.4722588032061976,5.512024513044561,-0.756743026091301,0.40101116250603314
4.033440361942951,5.469868552837978,6.189392696894555,-2.6247767232260752,-0.8414225871414921
6.053788111556453,5.184022204522328,1.4463108876800983,2.2067530195403497,-1.0807159169318195
1.9615900679088674,5.365015525999515,0.42549260330346783,0.22405246454173466,2.783551965953577
2.259599824931752,5.6182955599779545,1.1034441604494882,-1.5628071622472417,2.200769013682215
0.6780952527272687,3.45704685712504,4.216822150632716,-0.24460412594239045,0.6678905017812937
5.579283935165742,4.026300321547024,3.433027718270876,0.6691749859877015,-0.3721360229993933
6.249980721006907,3.809839395420712,0.9879673052658878,0.24659150176347383,-1.6250471410360978
1.4172404441152568,4.002299701731334,2.523006987783562,0.7141740529166576,1.2240983198199336
3.006391477513433,1.594069531161661,0.31537569052025605,-0.9005215123523557,-1.8383287457056565
5.96406993818328,4.858612451640663,2.5311520891184345,1.4831260761972445,-0.5902521600330868
4.1873520717350035,3.016790276202645,0.9540936308846891,-0.19576833703087848,0.8849462107650167
2.6069509847802914,5.9437764251431915,3.994572061758596,-0.5023985669692276,1.255397724599821
3.635487915994532,0.321107035083382,5.152054143429597,-2.5168057113990345,-0.8908968059012758
3.3788644962651277,5.873334453424546,2.8573077726661924,-1.0596876579472725,-0.5044639756875878
3.7466325830181164,2.680450204170237,4.7191345391222805,0.3172591432511822,-1.4140683047795297
5.623125931315545,4.362689800229031,5.737535194429818,-1.0566291919308894,-1.1606159764693733
6.090186671889483,0.9705093097482071,1.2599014055356248,1.2442291164434789,1.4028006913689337
1.6728144606954598,0.012981980487767636,5.545453514370204,0.3666681784860107,2.8004836539636115
